	actual_label	prediction	terms
219	Non-Course	Non-Course	phone research data goodman department home grain support base ibm flow use sequenti memori ut chip grad handbook softwar street scott ieee india gurindar j get scienc transact cray architectur program engin oper target professor wisconsin e paradigm perform ph ny electr todd technolog fast level g franklin vijaykumar load understand cs file risc address chiang sohi press sriram smith ordinari depart effici postscript univers fax watson th r parallel access friedman circa pilani wi split april report guri madison institut compil control investig ps mp interconnect center page network interest develop fine sigplan applic instruct branch chow bulk b wisc design inter non lebeck bandwidth model dayton distribut effort languag zero austin order detail traffic focus confer educ ilp usa talk rd group n window symposium comput processor micro prolog frame multiscalar current offic li summari compress edu serial system vijay west
220	Non-Course	Non-Course	project develop research paper direct curricula mission cornel peopl zeno softwar multimedia group
221	Non-Course	Non-Course	
222	Non-Course	Non-Course	holiday government link year call home homepag script millett express ny v cornel inform rebecca oct develop cs ut know copyright comput pictur ithaca old depart find li scienc pgp person info univers edu lynett west
223	Non-Course	Non-Course	research lead also home code work base well use appli ut random math algorithm j scienc proc professor wisconsin e call st complex ph secur test inform error cs conf vita press depart bach effici dna w info univers fax th product string wi eric one condon madison exam automata problem euler page interest email wisc design find model berkeley dayton mail search mathemat click creat follow transmiss v california algebra tell comput number theoret li summari edu theori mit
224	Non-Course	Non-Course	anyon research archiv born lead year also home oopsla imper star editor cover well acm due lopez box machin meet ut constraint breadth softwar oregon run bologna scienc curriculum phd kaleidoscop program school speak link benson jose f sieg cs previou address spring vita brian verlag portland depart depth orient univers fax wa freeman uw institut topic ps washington interest tutori develop dissert applic email design san mail alan march august languag springer gu respons advanc submit academ california usa top collector comput hall li camera edu engin system cse
225	Non-Course	Non-Course	cach research wa travi side home craig work keep half spin help take cours usa mechan pool washington time page understand interest cs ut comput press quarter project depart current run scienc fr univers edu engin system cse
226	Non-Course	Non-Course	perspect research data intend construct make optic home work hoofer learn base teach cover dacc pointer machin use techniqu map point ut honor major transform softwar instructor street algorithm administr scienc credit web minimum assum program new school projector wisconsin e call http section cours keyword inform g wiscinfo error motion solv cs prior spring minim vita fortran u zealand depart postscript massey knowledg orient titl info univers fax structur r finger simpl logic wi explor intellig rigid invers www one elementari artifici scene madison uw requir imag exam type dyer coursework survey problem introduct page experi interest basic dissert instruct write b wisc non assist nextstep model fr dayton bestor mail search wide languag click restrict advanc sfm posit unknown multipl librari inc educ taught given lab welcom algebra done consent gareth student group graphic time navig robot sc comput vision project number duti instead li littl world essenti edu engin camera system west
227	Non-Course	Non-Course	page million li html move dan berkeley edu home http visit dglaser www
228	Non-Course	Non-Course	jazz probabl search duan possibl oper check link home advanc homepag thayer packer brad uw welcom seminar mclaughlin use neglect page network interest cs et ut comput dr much email may find world li le j model scienc thec web engin would system intro altavista mail athlet
229	Non-Course	Non-Course	divis research addit year home week work area jack base support descript newsgroup seminar part use join appli ut cooper scal spent street may campus toolkit via administr scienc co web devot format speak oper wisconsin rm best visit staff ann help inform expand level cs address reloc u discoveri depart potenti internet w orient info univers present gather wi diego one report site read madison request uw topic servic page network interest develop feel email respect write branch wisc backbon find san june assist scout background dayton mail graduat foundat open send matthew list focus filter edit multipl inc educ lab sinc calcari group time merit includ comput agreement contact project susan li user see end nation edu intern system natur
230	Non-Course	Course	ken page kunen home
231	Non-Course	Non-Course	simul hauck parallel embed research wa rout asynchron year also work pin rapid hardwar multi triptych prototyp well board usa chinook level springbok washington interest develop cs ut spring comput applic th vita softwar fpga project design depart current scott li june assign scienc fr co univers edu engin system
232	Course	Course	phone class technic addit construct leveson make also home x work head discuss learn teach support descript industri updat latter way due part cmu use session meet ut ensur document approach etc softwar instructor howev assign administr get enough first architect program new oper professor organ risk process implement cost cours portfolio boe test larg clariti phase understand sieg cs member primari set experiment expertis necessari issu augment chang correct creation specialist play product regular embed exist www one platform uw institut control topic conduct exam realist hour washington page role develop leadership analysi respect write quarter design assist non model interact mail search track languag provid deliver respons feedback statu review commun exampl specif take act outlin sever avoid student group time includ manag normal success plan safeti mainten project current duti offic li user see end readabl essenti edu engin system studi cse natur
233	Non-Course	Non-Course	name finger url search phone wa get artist year visit michalowski chamberlain résumé work keep locat bam site brad guestbook friend edit take uw look institut test ps washington use time stop page song interest sieg cs favorit ut seattl thrash dept know random file comput grad hotlist worst poem brian depart find number girl offic li thank linguist scienc pgp quot co person info univers web engin edu mail visitor cse
234	Course	Course	david program phone misconduct archiv c uncomfort handout link object wesley check click dave borland code work solut section walter list academ savitch read statist help pleas text lab hour ps oct tutor use problem window page polici cs meet ut stuff comput syllabu th ta email addison etc softwar press instructor tue wisc may publish offic li assign scienc w chang get info gener edu reload noland mail melski mwf
235	Course	Course	phone winter wednesday wa class leveson home paul section karp tuesday teach midterm jonathan f cours pm usa lab part hour novemb box washington ruzzo fall sieg cs thursday ut previou loew spring homework comput lectur acrobat instructor browser b nowitz depart beam po offic john postscript assign scienc w get modifi univers web engin edu sampl eeb johnson cse mwf
236	Non-Course	Non-Course	swartz page jonathan home
237	Non-Course	Course	simul distribut nathan wednesday condor make send home click review anyway section www bockrath onlin site support teach jpeg neat pm hour page kb cs word ut schedul monday go email viru b wisc project depart offic li internet model info held edu back joe system mail mwf
238	Non-Course	Non-Course	li califf mari
239	Non-Course	Non-Course	wisconsin univeristi wi home btech madison institut usa student page sashikanth cs ut comput vm dec wisc street project depart chandrasekaran csashi june hill scienc septemb univers edu dayton west
240	Non-Course	Non-Course	research c data home perkowitz learn base segal softbot etzioni machin use terranc ut umass richard keith softwar algorithm comparison room ieee run jan scienc phd william web state program wisconsin e cacm st multi locat white relev inform food high expert understand seattl sieg cs file incomplet bruce ai greg voic discoveri faq depart fiction brief ijcai internet effici postscript innov knowledg info univers fax gather parallel repositori access oren databas move photo intellig selberg field www law indic jonathan stephen servic juli washington center page network paper planner autonom mine wisc mike without brook packard statlib erik fact sparc hewlett mail search august usenet wide contain html bio sound hunt aaai multipl inc individu lab unix robert repli group zamir option robot comput chain agent neuropros hall current world offic li user edu engin aij
241	Non-Course	Non-Course	austin home aruna work homepag taylor fall cs ut comput lectur email contact voic hall depart texa india utexa j bachelor scienc univers edu engin mail tx studi
242	Non-Course	Non-Course	theorem ask class link feedback nuprl note www help cornel linux use introduct page cs ut document rob relat browser index project design li reason run user edu theori altavista
243	Non-Course	Non-Course	phone sang class ha construct bs also home work watch java guitar cornel ut jung transform ithaca may john get scienc web view news music school e piano homepag ny listen inform kwan resum cs know address korean abstract le info univers soon play access shim love check melco eric www degre page interest meng antonio kang jazz click follow california welcom keyboard rd graphic time comput hong still project version world li final camera edu engin korea system studi
244	Non-Course	Non-Course	page utc ut cad home
245	Non-Course	Non-Course	krafft dean url b
246	Non-Course	Non-Course	structur effect seitz simpl viewpoint transit move icpr object call click work correct solut two distort siggraph base scene jude extens well imag toward dyer varieti principl represent use render mpeg interest paper prior ut face k comput handl transform geometri frame project howev li morph interpol knowledg steve septemb chang camera chuck shavlik view color
247	Course	Course	dsilva microsoft program phone misconduct csm c languag oper quizz sept comp object rm home borland solut section walter silva nov tuesday savitch statist cours text compil lab due inform hour textbook oct window problem introduct page cs ut mosaic comput chamberlin th email softwar stat contact toni instructor wisc tue sci offic li lec assign scienc day info edu system noland mail p
248	Non-Course	Non-Course	phone research wisconsin e construct marko wi home note madison usa page cs ut comput wisc street depart assist scienc univers edu dayton mail west
249	Non-Course	Non-Course	seek cam research scientif dynam oper linear link mathemat year detail april satish work summer submit activ ny frank posit cornel exam type student propos mechan l n center page interest paper ut k comput h vita misc thesi trefethen ithaca hall continu depart li non hill postscript model jeff fluid univers edu background theori system baggett
250	Non-Course	Non-Course	name finger phone search wa digit heavi construct link sound order intellig home travel skate god artifici nautiy take cours washington delhi stop page dept seattl sieg cs ut tech movi comput pelham quarter b aviat design iit offic li india scienc adam univers edu engin system himanshu mail cse
251	Non-Course	Non-Course	thing aspect wide link make year island travel click follow work siggraph hey scene among look imag lab cse daili walkthru corner render graphic page interest cs paper ut plan comput grad public u contact browser laboratori project find li j get info edu lot
252	Non-Course	Non-Course	network research ut austin lab laboratori
253	Non-Course	Non-Course	
254	Non-Course	Non-Course	architectur program phone parallel research wa school c languag oper postdoc octob move link hsieh work lie electr wilson spin advisor compil lab bill box washington whsieh interest sieg cs seattl ut comput receiv runtim mit laboratori project depart number offic li scienc phd pgp chang person weihl univers edu engin fax system
255	Non-Course	Non-Course	donald bruce
256	Non-Course	Non-Course	thing phone research hickey speed data lead aka work think teach brad support acm reliabl cornel birman use horu ierland meet ut eicken lectur cluster major cooper softwar ithaca anindya kenneth takako ieee scienc oper best synchron perform ny global von technolog malki guo level recent cs smith u vineet brian depart robbert univers fax th bound dept parallel thorsten hayden vogel perfect upson ps demand real fall network interest experi vaysburd practic email multimedia design find tr bandwidth practicum werner mail reach march distribut august dalia video respons add system commun take group time workshop princpl tell copper symposium comput pass extract mountain van hall project atm number world li user see basu edu engin flexibl focu p
257	Non-Course	Non-Course	anoop thing microsoft display ask research class multicast data lead make year sigcomm rate x work membership sharma support rosen text cornel bill part alto machin use interpret silicon ut lectur transform ta etc softwar spent media scienc phd tcl first bachelor classroom client h format program oper tk link claim imagefram sharmila call sequenc draft conferenc test fast mean motion cs file set spring stanford deploy indian internet postscript server mix valley predecessor dept navin initi keshav access script motif site leader viewer upson look compil imag institut type ps delhi fall network develop paper deliveri palo email write multimedia replay quarter design came filenam flavour putimageincanva steve fact mail name languag manipul video term sitn v inc gupta group window mode stuff audio comput hall atm cool ip offic li stream edu system
258	Non-Course	Non-Course	kristin page home
259	Non-Course	Non-Course	cow thing music tokyo html move construct kota start melco kaz bs home work tri homepag worth ok ee think return take cours cornel japan inform way peopl student sale page interest cs ut comput kazushi depart assign scienc get co info univers edu engin superhighway sell march
260	Non-Course	Non-Course	architectur wide technic wisconsin home local guri inform talk group use page interest avail cs paper ut comput softwar relat multiscalar wisc project depart world user fund scienc info univers edu sohi
261	Non-Course	Non-Course	oren home aka work wind weld uw welcom inform etzioni softbot dan hi washington page cs ut kwok sky codi vision ai softwar agent contact may ctkwok info leisur edu chung hyper valley cse
262	Non-Course	Non-Course	prize dick program fellow research class america oper distinguish professor minimum e construct present mathemat travel babbag complex advanc fulkerson profession karp perfect membership pennsylvania plane teach technion ii salesman von acm institut board flow part plenum faculti washington use problem network art member cs match ut manag adjunct pp medal richard comput lectur miller random vol press senat wigderson algorithm academi li chair john j scienc berkeley univers edu engin theori intern nation societi
